From Id	To Id	Tx	Meta
3	4	127.003	 UDP 49153 > 9
4	3	127.004	 UDP 9 > 49153
3	2	127.005	 UDP 9 > 49153
2	1	127.006	 UDP 9 > 49153
1	0	127.007	 UDP 9 > 49153
0	1	128	 UDP 49153 > 9
1	2	128.001	 UDP 49153 > 9
2	3	128.002	 UDP 49153 > 9
3	4	128.003	 UDP 49153 > 9
4	3	128.004	 UDP 9 > 49153
3	2	128.005	 UDP 9 > 49153
2	1	128.006	 UDP 9 > 49153
1	0	128.007	 UDP 9 > 49153
1	2	128.3	 UDP 520 > 520
1	0	128.3	 UDP 520 > 520
0	1	129	 UDP 49153 > 9
1	2	129.001	 UDP 49153 > 9
2	3	129.002	 UDP 49153 > 9
3	4	129.003	 UDP 49153 > 9
4	3	129.004	 UDP 9 > 49153
3	2	129.005	 UDP 9 > 49153
2	1	129.006	 UDP 9 > 49153
1	0	129.007	 UDP 9 > 49153
0	1	130	 UDP 49153 > 9
1	2	130.001	 UDP 49153 > 9
2	3	130.002	 UDP 49153 > 9
3	4	130.003	 UDP 49153 > 9
4	3	130.004	 UDP 9 > 49153
3	2	130.005	 UDP 9 > 49153
2	1	130.006	 UDP 9 > 49153
1	0	130.007	 UDP 9 > 49153
0	1	131	 UDP 49153 > 9
1	2	131.001	 UDP 49153 > 9
2	3	131.002	 UDP 49153 > 9
3	4	131.003	 UDP 49153 > 9
4	3	131.004	 UDP 9 > 49153
3	2	131.005	 UDP 9 > 49153
2	1	131.006	 UDP 9 > 49153
1	0	131.007	 UDP 9 > 49153
0	1	132	 UDP 49153 > 9
1	2	132.001	 UDP 49153 > 9
2	3	132.002	 UDP 49153 > 9
3	4	132.003	 UDP 49153 > 9
4	3	132.004	 UDP 9 > 49153
3	2	132.005	 UDP 9 > 49153
2	1	132.006	 UDP 9 > 49153
1	0	132.007	 UDP 9 > 49153
0	1	133	 UDP 49153 > 9
1	2	133.001	 UDP 49153 > 9
2	3	133.002	 UDP 49153 > 9
3	4	133.003	 UDP 49153 > 9
4	3	133.004	 UDP 9 > 49153
3	2	133.005	 UDP 9 > 49153
2	1	133.006	 UDP 9 > 49153
1	0	133.007	 UDP 9 > 49153
2	1	133.142	 UDP 520 > 520
2	3	133.142	 UDP 520 > 520
0	1	134	 UDP 49153 > 9
1	2	134.001	 UDP 49153 > 9
2	3	134.002	 UDP 49153 > 9
3	4	134.003	 UDP 49153 > 9
4	3	134.004	 UDP 9 > 49153
3	2	134.005	 UDP 9 > 49153
2	1	134.006	 UDP 9 > 49153
1	0	134.007	 UDP 9 > 49153
