From Id	To Id	Tx	Meta
5	4	15.1751	OLSR
5	6	15.1751	OLSR
1	0	15.2607	OLSR
1	2	15.2607	OLSR
1	5	15.2607	OLSR
7	3	15.2722	OLSR
7	4	15.2722	OLSR
7	6	15.2722	OLSR
3	2	15.281	OLSR
3	4	15.281	OLSR
3	7	15.281	OLSR
5	1	15.3106	OLSR
5	4	15.3106	OLSR
5	6	15.3106	OLSR
6	4	15.3347	OLSR
6	5	15.3347	OLSR
6	7	15.3347	OLSR
2	1	15.3531	OLSR
2	3	15.3531	OLSR
2	4	15.3531	OLSR
4	2	15.4481	OLSR
4	3	15.4481	OLSR
4	7	15.4481	OLSR
4	5	15.4481	OLSR
4	6	15.4481	OLSR
7	3	15.5499	OLSR
7	4	15.5499	OLSR
7	6	15.5499	OLSR
3	2	15.6886	OLSR
3	4	15.6886	OLSR
3	7	15.6886	OLSR
2	1	15.7368	OLSR
2	3	15.7368	OLSR
2	4	15.7368	OLSR
5	1	15.7647	OLSR
5	4	15.7647	OLSR
5	6	15.7647	OLSR
3	2	15.7715	OLSR
3	4	15.7715	OLSR
3	7	15.7715	OLSR
1	0	15.8189	OLSR
1	2	15.8189	OLSR
1	5	15.8189	OLSR
0	1	16	 UDP 49153 > 9
1	2	16.001	 UDP 49153 > 9
2	3	16.002	 UDP 49153 > 9
3	7	16.003	 UDP 49153 > 9
7	4	16.004	 UDP 9 > 49153
4	2	16.0051	 UDP 9 > 49153
2	1	16.0061	 UDP 9 > 49153
1	0	16.0071	 UDP 9 > 49153
4	2	16.0154	OLSR
4	3	16.0154	OLSR
4	7	16.0154	OLSR
4	5	16.0154	OLSR
4	6	16.0154	OLSR
2	1	16.0608	OLSR
2	3	16.0608	OLSR
2	4	16.0608	OLSR
6	4	16.067	OLSR
6	5	16.067	OLSR
6	7	16.067	OLSR
1	0	16.091	OLSR
1	2	16.091	OLSR
1	5	16.091	OLSR
7	3	16.1095	OLSR
7	4	16.1095	OLSR
7	6	16.1095	OLSR
5	1	16.1975	OLSR
5	4	16.1975	OLSR
5	6	16.1975	OLSR
0	1	16.3828	OLSR
3	2	16.4816	OLSR
3	4	16.4816	OLSR
3	7	16.4816	OLSR
0	1	17	 UDP 49153 > 9
1	2	17.001	 UDP 49153 > 9
2	3	17.002	 UDP 49153 > 9
3	7	17.003	 UDP 49153 > 9
7	4	17.004	 UDP 9 > 49153
4	2	17.0051	 UDP 9 > 49153
2	1	17.0061	 UDP 9 > 49153
1	0	17.0071	 UDP 9 > 49153
0	1	18	 UDP 49153 > 9
1	2	18.001	 UDP 49153 > 9
2	3	18.002	 UDP 49153 > 9
3	7	18.003	 UDP 49153 > 9
7	4	18.004	 UDP 9 > 49153
4	2	18.0051	 UDP 9 > 49153
2	1	18.0061	 UDP 9 > 49153
1	0	18.0071	 UDP 9 > 49153
1	0	18.0587	OLSR
1	2	18.0587	OLSR
1	5	18.0587	OLSR
5	1	18.1137	OLSR
5	4	18.1137	OLSR
5	6	18.1137	OLSR
6	4	18.1587	OLSR
6	5	18.1587	OLSR
6	7	18.1587	OLSR
2	1	18.233	OLSR
2	3	18.233	OLSR
2	4	18.233	OLSR
3	2	18.2366	OLSR
3	4	18.2366	OLSR
3	7	18.2366	OLSR
0	1	18.2562	OLSR
7	3	18.2722	OLSR
7	4	18.2722	OLSR
7	6	18.2722	OLSR
4	2	18.3135	OLSR
4	3	18.3135	OLSR
4	7	18.3135	OLSR
4	5	18.3135	OLSR
4	6	18.3135	OLSR
0	1	19	 UDP 49153 > 9
1	2	19.001	 UDP 49153 > 9
2	3	19.002	 UDP 49153 > 9
3	7	19.003	 UDP 49153 > 9
7	4	19.004	 UDP 9 > 49153
4	2	19.0051	 UDP 9 > 49153
2	1	19.0061	 UDP 9 > 49153
1	0	19.0071	 UDP 9 > 49153
0	1	20	 UDP 49153 > 9
1	2	20.001	 UDP 49153 > 9
2	3	20.002	 UDP 49153 > 9
3	7	20.003	 UDP 49153 > 9
7	4	20.004	 UDP 9 > 49153
4	2	20.0051	 UDP 9 > 49153
2	1	20.0061	 UDP 9 > 49153
1	0	20.0071	 UDP 9 > 49153
7	3	20.1147	OLSR
7	4	20.1147	OLSR
7	6	20.1147	OLSR
2	1	20.2873	OLSR
2	3	20.2873	OLSR
2	4	20.2873	OLSR
5	1	20.2874	OLSR
5	4	20.2874	OLSR
5	6	20.2874	OLSR
0	1	20.2948	OLSR
4	2	20.3171	OLSR
4	3	20.3171	OLSR
4	7	20.3171	OLSR
4	5	20.3171	OLSR
4	6	20.3171	OLSR
2	1	20.3657	OLSR
2	3	20.3657	OLSR
2	4	20.3657	OLSR
1	0	20.3965	OLSR
1	2	20.3965	OLSR
1	5	20.3965	OLSR
3	2	20.4596	OLSR
3	4	20.4596	OLSR
3	7	20.4596	OLSR
6	4	20.4786	OLSR
6	5	20.4786	OLSR
6	7	20.4786	OLSR
4	2	20.6431	OLSR
4	3	20.6431	OLSR
4	7	20.6431	OLSR
4	5	20.6431	OLSR
4	6	20.6431	OLSR
2	1	20.801	OLSR
2	3	20.801	OLSR
2	4	20.801	OLSR
5	1	20.8214	OLSR
5	4	20.8214	OLSR
5	6	20.8214	OLSR
0	1	21	 UDP 49153 > 9
1	2	21.001	 UDP 49153 > 9
2	3	21.002	 UDP 49153 > 9
3	7	21.003	 UDP 49153 > 9
7	4	21.004	 UDP 9 > 49153
4	2	21.0051	 UDP 9 > 49153
2	1	21.0061	 UDP 9 > 49153
1	0	21.0071	 UDP 9 > 49153
4	2	21.0619	OLSR
4	3	21.0619	OLSR
4	7	21.0619	OLSR
4	5	21.0619	OLSR
4	6	21.0619	OLSR
1	0	21.1075	OLSR
1	2	21.1075	OLSR
1	5	21.1075	OLSR
5	1	21.5567	OLSR
5	4	21.5567	OLSR
5	6	21.5567	OLSR
0	1	22	 UDP 49153 > 9
1	2	22.001	 UDP 49153 > 9
2	3	22.002	 UDP 49153 > 9
3	7	22.003	 UDP 49153 > 9
4	2	22.0033	OLSR
4	3	22.0033	OLSR
4	7	22.0033	OLSR
4	5	22.0033	OLSR
4	6	22.0033	OLSR
7	4	22.004	 UDP 9 > 49153
4	2	22.0051	 UDP 9 > 49153
2	1	22.0061	 UDP 9 > 49153
1	0	22.0071	 UDP 9 > 49153
7	3	22.0112	OLSR
7	4	22.0112	OLSR
7	6	22.0112	OLSR
0	1	22.0578	OLSR
2	1	22.075	OLSR
2	3	22.075	OLSR
2	4	22.075	OLSR
1	0	22.1017	OLSR
1	2	22.1017	OLSR
1	5	22.1017	OLSR
5	1	22.1655	OLSR
5	4	22.1655	OLSR
5	6	22.1655	OLSR
3	2	22.3378	OLSR
3	4	22.3378	OLSR
3	7	22.3378	OLSR
6	4	22.3895	OLSR
6	5	22.3895	OLSR
6	7	22.3895	OLSR
0	1	23	 UDP 49153 > 9
1	2	23.001	 UDP 49153 > 9
2	3	23.002	 UDP 49153 > 9
3	7	23.003	 UDP 49153 > 9
7	4	23.004	 UDP 9 > 49153
4	2	23.0051	 UDP 9 > 49153
2	1	23.0061	 UDP 9 > 49153
1	0	23.0071	 UDP 9 > 49153
0	1	24	 UDP 49153 > 9
1	2	24.001	 UDP 49153 > 9
2	3	24.002	 UDP 49153 > 9
3	7	24.003	 UDP 49153 > 9
7	4	24.004	 UDP 9 > 49153
4	2	24.0051	 UDP 9 > 49153
2	1	24.0061	 UDP 9 > 49153
1	0	24.0071	 UDP 9 > 49153
7	3	24.0167	OLSR
7	4	24.0167	OLSR
7	6	24.0167	OLSR
0	1	24.0231	OLSR
4	2	24.0786	OLSR
4	3	24.0786	OLSR
4	7	24.0786	OLSR
4	5	24.0786	OLSR
4	6	24.0786	OLSR
5	1	24.119	OLSR
5	4	24.119	OLSR
5	6	24.119	OLSR
